,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
492,180,SMRT,1,TRUNK,22009,22009,6,Aug-13,8,10-Dec,Bt Panjang Rd
493,180A,SMRT,1,TRUNK,22009,44259,0,-,38,10,
494,184,SMRT,1,TRUNK,481,481,7,6-Sep,7,7-Nov,C'wealth Ave West
495,187,SMRT,1,TRUNK,46009,22009,8,5-Nov,10,Sep-13,
496,187,SMRT,2,TRUNK,22009,46009,7,6-Oct,7,Jul-13,
497,188,SMRT,1,TRUNK,44009,14009,7,Jul-16,10,13-14,
498,188,SMRT,2,TRUNK,14009,44009,13,Jul-16,7,Aug-14,
499,188e,SMRT,1,TRUNK,44009,14009,15,-,0,-,
500,188R,SMRT,1,TRUNK,44009,14519,35,30-35,31,27-31,
501,188R,SMRT,2,TRUNK,14519,44009,0,30-33,30,30-33,
502,190,SMRT,1,TRUNK,44009,10499,3,4-Jul,6,7-Nov,
503,190,SMRT,2,TRUNK,10499,44009,9,4-Jul,5,5-Aug,
504,190A,SMRT,1,TRUNK,44009,8057,13,-,0,-,
505,300,SMRT,1,TRUNK,44009,44009,4,3-Jun,4,4-Oct,Choa Chu Kang Ave 3
506,301,SMRT,1,TRUNK,44009,44009,7,6-Sep,7,7-Oct,Keat Hong Cl
507,302,SMRT,1,TRUNK,44009,44009,4,4-Jun,5,6-Oct,Choa Chu Kang Cres
508,302A,SMRT,1,TRUNK,45321,45329,13,-,15,-,
509,307,SMRT,1,TRUNK,44009,44009,5,4-Sep,6,7-Dec,Choa Chu Kang St 62
510,307,SMRT,2,TRUNK,,,5,4-Sep,6,7-Dec,Choa Chu Kang St 62
511,307A,SMRT,1,TRUNK,44009,44531,13,Oct-32,11,Oct-34,Choa Chu Kang St 62
512,61,SMRT,1,TRUNK,43009,82009,8,Sep-14,11,Oct-15,
513,61,SMRT,2,TRUNK,82009,43009,13,Sep-15,11,Nov-15,
514,653,SMRT,1,TRUNK,43811,3391,10,-,0,-,
515,653,SMRT,2,TRUNK,3539,43268,0,-,15,-,
516,656,SMRT,1,TRUNK,58121,3218,10,-,0,-,
517,656,SMRT,2,TRUNK,3241,58129,0,-,15,-,
518,657,SMRT,1,TRUNK,28539,3391,15,-,0,-,
519,657,SMRT,2,TRUNK,3539,28531,0,-,15,-,
520,67,SMRT,1,TRUNK,44009,75009,7,7-Dec,9,Sep-13,
521,67,SMRT,2,TRUNK,75009,44009,8,6-Nov,10,9-Dec,
522,67A,SMRT,1,TRUNK,44009,41049,0,77,0,-,
523,67W,SMRT,1,TRUNK,75009,40011,0,77,0,-,
524,700,SMRT,1,TRUNK,481,3218,7,Oct-13,11,-,
525,700,SMRT,2,TRUNK,3239,481,13,Sep-13,10,11,
526,700A,SMRT,1,TRUNK,481,481,11,11-Dec,12,Oct-13,Temasek Ave
527,75,SMRT,1,TRUNK,481,2089,6,Aug-14,12,13-16,
528,75,SMRT,2,TRUNK,2099,481,10,Jul-13,11,13-15,
529,75A,SMRT,1,TRUNK,481,12099,0,-,0,-,
530,825,SMRT,1,TRUNK,55509,55509,9,Oct-20,11,9-Oct,Lentor Loop
531,853,SMRT,1,TRUNK,59009,80009,13,Sep-15,12,14-18,
532,853,SMRT,2,TRUNK,80009,59009,13,Oct-16,11,16-18,
533,853C,SMRT,1,TRUNK,59009,94009,13,Sep-14,13,14-15,
534,853C,SMRT,2,TRUNK,94009,59009,13,Oct-15,13,13-15,
535,854,SMRT,1,TRUNK,59009,84009,6,5-Nov,7,7-Dec,
536,854,SMRT,2,TRUNK,84009,59009,6,5-Nov,6,Jul-13,
537,854e,SMRT,1,TRUNK,59009,84009,19,-,0,-,
538,855,SMRT,1,TRUNK,59009,14009,10,Oct-15,14,Dec-15,
539,855,SMRT,2,TRUNK,14009,59009,13,Sep-14,12,Dec-14,
540,856,SMRT,1,TRUNK,59009,46009,5,5-Oct,6,5-Nov,
541,856,SMRT,2,TRUNK,46009,59009,5,5-Nov,5,2-Nov,
542,856A,SMRT,1,TRUNK,46009,46069,0,-,35,-,
543,857,SMRT,1,TRUNK,59009,59009,5,5-Sep,8,8-Oct,Temasek Ave
544,857A,SMRT,1,TRUNK,59009,55081,12,-,0,-,
545,858,SMRT,1,TRUNK,46009,46009,7,5-Sep,7,6-Oct,PTB2 Basement
546,858A,SMRT,1,TRUNK,46009,59073,0,-,0,11,
547,859,SMRT,1,TRUNK,58009,58009,9,8-Dec,10,Dec-13,Yishun Temp Int
548,859A,SMRT,1,TRUNK,58009,58009,13,Aug-36,16,Dec-25,Admiralty Link
549,859B,SMRT,1,TRUNK,58009,58009,13,Aug-25,15,Nov-24,Sembawang Cres
550,860A,SMRT,1,TRUNK,59009,59569,7,-,0,-,
551,868E,SMRT,1,TRUNK,43581,2161,15,-,0,-,
552,882,SMRT,1,TRUNK,58009,58009,15,13-17,16,Dec-17,Sembawang Rd
553,882A,SMRT,1,TRUNK,58009,58501,0,-,30,-,
554,883,SMRT,1,TRUNK,58009,58009,8,Sep-13,9,Jul-20,Yishun Ctrl 2
555,883B,SMRT,1,TRUNK,59079,58539,0,-,0,22-26,
556,900,SMRT,1,TRUNK,46009,46009,7,5-Sep,8,Jun-15,Woodlands Dr 14
557,900A,SMRT,1,TRUNK,46009,46009,7,6-Sep,9,-,Woodlands Dr 17
558,901,SMRT,1,TRUNK,46009,46009,5,6-Dec,8,Aug-15,Woodlands Ave 6
559,902,SMRT,1,TRUNK,46009,46269,6,2-Jul,0,-,
560,903,SMRT,1,TRUNK,46009,46009,7,6-Sep,7,Jul-14,Woodlands Ctr Rd
561,903M,SMRT,1,TRUNK,46009,46009,24,-,21,-,Marsiling Lane
562,904,SMRT,1,TRUNK,46009,46009,9,Sep-13,11,Nov-15,Woodlands Cres
563,911,SMRT,1,TRUNK,46009,46009,4,5-Nov,5,2-Dec,Woodlands Ave 2
564,912,SMRT,1,TRUNK,46009,46009,25,21-25,23,19-25,Woodlands Ave 7
565,912A,SMRT,1,TRUNK,46009,46008,5,7-Sep,7,6-Oct,Woodlands Ave 7
566,912B,SMRT,1,TRUNK,46008,46009,6,8-Nov,7,8-Nov,Woodlands Ctr Rd
567,912M,SMRT,1,TRUNK,46008,46009,20,-,20,-,Woodlands St 41
568,913,SMRT,1,TRUNK,46009,46009,5,2-Jul,4,3-Oct,Woodlands Circle
569,913,SMRT,2,TRUNK,,,5,2-Jul,4,3-Oct,Woodlands Circle
570,913M,SMRT,1,TRUNK,46009,46009,17,15-20,17,20,Woodlands St 13
571,920,SMRT,1,TRUNK,45009,45009,6,5-Sep,6,6-Nov,Bangkit Rd
572,922,SMRT,1,TRUNK,45009,45009,7,6-Oct,6,7-Nov,Bangkit Rd
573,925,SMRT,1,TRUNK,46009,44009,8,Jul-14,11,11,
574,925,SMRT,2,TRUNK,44009,46009,9,Sep-14,9,9-Oct,
575,925C,SMRT,1,TRUNK,46009,46009,10,10-Dec,11,13,Neo Tiew Cres
576,926,SMRT,1,TRUNK,46009,46009,0,-,0,Oct-15,Mandai Lake Rd
577,927,SMRT,1,TRUNK,44009,44009,13,Dec-17,13,13-18,Mandai Lake Rd
578,944,SMRT,1,TRUNK,43009,43009,12,13-16,12,15-16,Bt Batok Rd
579,950,SMRT,1,TRUNK,46009,46009,11,Sep-13,12,11-Dec,Jln Jim Quee
580,951E,SMRT,1,TRUNK,46449,3218,7,-,0,-,
581,951E,SMRT,2,TRUNK,3222,46441,0,-,15,-,
582,960,SMRT,1,TRUNK,46009,2099,8,8-Dec,11,10-Nov,
583,960,SMRT,2,TRUNK,2099,46009,10,8-Nov,8,9-Nov,
584,960e,SMRT,1,TRUNK,46009,2099,25,30,30,30,
585,960e,SMRT,2,TRUNK,2099,46009,30,30,25,20-30,
586,961,SMRT,1,TRUNK,46009,80009,9,Jul-15,13,Dec-15,
587,961,SMRT,2,TRUNK,80009,46009,13,Aug-13,10,Nov-16,
588,961C,SMRT,1,TRUNK,46009,80009,13,10-Dec,12,14-15,
589,961C,SMRT,2,TRUNK,80009,46009,14,Aug-13,13,14-16,
590,962,SMRT,1,TRUNK,46009,46009,7,5-Oct,7,9-Oct,Admiralty St
591,962B,SMRT,1,TRUNK,58259,58251,30,-,30,-,
592,962C,SMRT,1,TRUNK,47571,47591,8,-,0,-,
593,963,SMRT,1,TRUNK,46009,14009,13,May-14,10,Dec-15,
594,963,SMRT,2,TRUNK,14009,46009,13,Jun-13,7,Aug-13,
595,963e,SMRT,1,TRUNK,46009,14009,20,-,0,-,
596,963e,SMRT,2,TRUNK,14009,46009,0,-,30,-,
597,963R,SMRT,1,TRUNK,46009,14519,33,30-33,32,32-35,
598,963R,SMRT,2,TRUNK,14519,46009,0,27-33,30,30-33,
599,964,SMRT,1,TRUNK,46009,46009,4,4-Aug,5,5-Nov,Nth Woodlands Link
600,965,SMRT,1,TRUNK,46009,46009,8,Aug-14,9,Oct-17,Sengkang Sq
601,965A,SMRT,1,TRUNK,46009,59073,9,-,0,-,
602,966,SMRT,1,TRUNK,46009,46009,8,Jul-14,11,15-17,Marine Parade Rd
603,969,SMRT,1,TRUNK,46009,75009,6,5-Oct,7,9-Dec,
604,969,SMRT,2,TRUNK,75009,46009,5,5-Oct,6,3-Oct,
605,969A,SMRT,1,TRUNK,75009,59079,0,-,10,,
606,970,SMRT,1,TRUNK,45009,3218,13,Oct-16,13,16-17,
607,970,SMRT,2,TRUNK,3239,45009,13,Oct-15,10,Nov-16,
608,971E,SMRT,1,TRUNK,481,3021,6,-,0,-,
609,971E,SMRT,2,TRUNK,3223,481,0,-,12,-,
610,972,SMRT,1,TRUNK,45009,45009,4,4-Oct,6,8-Oct,Bencoolen St
611,972A,SMRT,1,TRUNK,45009,8057,0,-,0,15,
612,973,SMRT,1,TRUNK,45009,45009,13,12,11,Oct-15,Hume Ave
613,973A,SMRT,1,TRUNK,45009,44229,0,-,0,20,
614,975,SMRT,1,TRUNK,45009,45009,7,7-Nov,7,9-Dec,Lim Chu Kang Rd
615,975B,SMRT,1,TRUNK,44531,33041,13,-,18,Sep-80,
616,979,SMRT,1,TRUNK,45009,45009,5,5-Aug,5,6-Sep,Choa Chu Kang Cres
617,980,SMRT,1,TRUNK,58009,80009,13,14-17,16,15-18,
618,980,SMRT,2,TRUNK,80009,58009,15,14-17,16,14-16,
619,981,SMRT,1,TRUNK,58009,47199,13,13-15,0,-,
620,981,SMRT,2,TRUNK,47121,58009,0,-,19,17-20,
621,982E,SMRT,1,TRUNK,44589,3391,15,-,0,-,
622,982E,SMRT,2,TRUNK,3539,44581,0,-,15,-,
623,983,SMRT,1,TRUNK,44009,44009,5,6-Aug,6,6-Sep,Jelebu Rd
624,983A,SMRT,1,TRUNK,44009,44131,0,-,0,15-20,
625,985,SMRT,1,TRUNK,44009,80009,9,9-Nov,11,11-Dec,
626,985,SMRT,2,TRUNK,80009,44009,9,Sep-13,10,11-Dec,
627,991,SMRT,1,TRUNK,43009,44009,11,Nov-13,11,Oct-15,
628,991,SMRT,2,TRUNK,44009,43009,11,Dec-13,11,Oct-19,
629,991A,SMRT,1,TRUNK,43009,43341,0,-,0,15,
630,991B,SMRT,1,TRUNK,44009,44099,0,-,0,18-19,
631,BPS1,SMRT,1,TRUNK,44699,44009,20,-,0,-,
632,BPS1,SMRT,2,TRUNK,44539,44691,0,-,20,-,
633,NR1,SMRT,1,TRUNK,14519,59561,0,-,0,25-25,Yishun Ring Rd
634,NR2,SMRT,1,TRUNK,2099,58291,0,-,0,30-30,Sembawang Dr
635,NR3,SMRT,1,TRUNK,5029,44009,0,-,0,30,
636,NR5,SMRT,1,TRUNK,2099,22449,0,-,0,30,
637,NR6,SMRT,1,TRUNK,14519,67171,0,-,0,29-29,Anchorvale Dr
638,NR7,SMRT,1,TRUNK,2099,98029,0,-,0,29,
639,NR8,SMRT,1,TRUNK,2099,43609,0,-,0,29-29,Bt Batok West Ave 5
640,106,TTS,1,TRUNK,43009,3218,7,6-Dec,10,Oct-13,
641,106,TTS,2,TRUNK,3239,43009,9,7-Dec,9,11-Dec,
642,106A,TTS,1,TRUNK,43009,17179,29,-,0,-,
643,143,TTS,1,TRUNK,52009,28009,8,Aug-13,12,13-14,
644,143,TTS,2,TRUNK,28009,52009,9,Aug-13,12,Dec-13,
645,143M,TTS,1,TRUNK,28009,28009,14,14-16,15,14-16,Pandan Gdns
646,173,TTS,1,TRUNK,43009,43009,10,Sep-14,9,15-15,Clementi Ave 3
647,173A,TTS,1,TRUNK,43009,43169,0,-,0,15-15,Bt Batok East Ave 4
648,177,TTS,1,TRUNK,43009,43009,14,Dec-15,12,-,Jelebu Rd
649,183,TTS,1,TRUNK,28009,28009,6,May-15,7,16-19,Science Pk Rd
650,183B,TTS,1,TRUNK,28009,28189,6,Mar-13,0,-,
651,189,TTS,1,TRUNK,43009,43009,7,5-Nov,9,10-Dec,Clementi Ave 1
652,189A,TTS,1,TRUNK,43009,43319,13,Jul-13,0,15-20,Bt Batok St 23
653,282,TTS,1,TRUNK,17009,17009,9,10-Dec,8,8-Dec,Clementi West St 2
654,284,TTS,1,TRUNK,17009,17009,5,6-Aug,5,4-Jul,Clementi Ave 4
655,285,TTS,1,TRUNK,17009,17009,5,5-Dec,5,Jun-14,Pandan Loop
656,333,TTS,1,TRUNK,28009,28009,8,8-Dec,8,8-Dec,Jurong East St 32
657,334,TTS,1,TRUNK,28009,28009,5,6-Oct,5,5-Dec,Jurong West St 42
658,335,TTS,1,TRUNK,28009,28009,7,Jul-13,7,Jul-14,Jurong West St 41
659,41,TTS,1,TRUNK,28009,28009,11,13-15,13,Dec-15,Jln Anak Bt
660,49,TTS,1,TRUNK,28009,28009,9,Oct-14,11,10-Dec,Jurong West St 42
661,66,TTS,1,TRUNK,84009,28009,10,Oct-17,14,15-16,
662,66,TTS,2,TRUNK,28009,84009,11,Oct-16,14,Oct-16,
663,663,TTS,1,TRUNK,59591,3218,15,-,0,-,
664,663,TTS,2,TRUNK,3241,59599,0,-,15,-,
665,665,TTS,1,TRUNK,46141,3218,8,-,0,-,
666,665,TTS,2,TRUNK,3241,46149,0,-,15,-,
667,66A,TTS,1,TRUNK,84009,40011,0,-,0,-,
668,66B,TTS,1,TRUNK,60139,28009,0,-,0,-,
669,66B,TTS,2,TRUNK,28009,7031,0,-,0,-,
670,77,TTS,1,TRUNK,43009,2099,10,11-Dec,12,Oct-15,
671,77,TTS,2,TRUNK,2099,43009,13,10-Dec,12,13-15,
672,78,TTS,1,TRUNK,28009,28009,7,Jun-15,7,Nov-15,Clementi Ave 3
673,78A,TTS,1,TRUNK,28009,29121,5,-,0,-,Tg Penjuru
674,79,TTS,1,TRUNK,28009,28009,9,Aug-18,10,15-17,Jurong West Ctrl 3
675,79A,TTS,1,TRUNK,28009,22009,0,-,0,15-15,
676,941,TTS,1,TRUNK,43009,43009,6,7-Oct,6,6-Dec,Bukit Batok West Avenue 9
677,945,TTS,1,TRUNK,43009,43009,7,7-Oct,6,Jun-15,Bt Batok St 34
678,947,TTS,1,TRUNK,43009,43009,7,8-Sep,7,6-Sep,Bt Batok Rd
679,96,TTS,1,TRUNK,17009,17009,6,May-13,6,5-Oct,Kent Ridge Cres
680,96A,TTS,1,TRUNK,17009,16169,9,3-Sep,0,-,
681,96B,TTS,1,TRUNK,17009,17171,0,Jun-19,12,-,
682,97,TTS,1,TRUNK,28009,2099,9,Jun-13,9,13-14,
683,97,TTS,2,TRUNK,2099,28009,10,Jul-14,9,13-13,
684,974,TTS,1,TRUNK,44029,24009,15,15-15,15,15-15,
685,974,TTS,2,TRUNK,24009,44031,15,15-15,15,15-15,
686,974A,TTS,1,TRUNK,44029,44539,0,-,0,Aug-15,
687,97e,TTS,1,TRUNK,28009,2099,12,-,0,-,
688,97e,TTS,2,TRUNK,2099,28009,0,-,12,-,
689,98,TTS,1,TRUNK,28009,28009,7,Jun-16,9,Oct-20,Jurong Pier Way
690,98A,TTS,1,TRUNK,28091,21179,0,-,8,Oct-20,
691,98B,TTS,1,TRUNK,28501,21099,7,-,0,-,
692,98M,TTS,1,TRUNK,28009,28009,0,14-18,0,14-18,Corporation Rd
693,990,TTS,1,TRUNK,43009,43009,12,12-Dec,12,Dec-13,Jurong Gateway Rd
694,225,SBST,1,TRUNK,84009,84009,4,Mar-13,4,4-Dec,Bedok North St 3
695,225,SBST,2,TRUNK,84009,84009,5,5-Sep,5,4-Oct,Bedok North St 3
696,243,SBST,1,TRUNK,22009,22009,6,3-Jun,4,4-Aug,Jurong West Ave 5
697,243,SBST,2,TRUNK,22009,22009,6,3-Jul,4,3-Oct,Jurong West Ave 5
698,410,SBST,1,TRUNK,53009,53009,5,5-Oct,4,4-Dec,Shunfu Road
699,410,SBST,2,TRUNK,53009,53009,5,5-Dec,6,Jun-14,Shunfu Road
700,533,SBST,1,TRUNK,28009,3011,10,-,0,-,
701,534,SBST,1,TRUNK,63219,3011,0,-,0,-,
702,535,SBST,1,TRUNK,52371,3011,0,-,0,-,
703,536,SBST,1,TRUNK,22009,3011,0,-,0,-,
704,538,SBST,1,TRUNK,77009,3011,10,-,0,-,
705,539,SBST,1,TRUNK,77009,3011,10,-,0,-,
706,552,SBST,1,TRUNK,75009,3011,0,-,0,-,
707,553,SBST,1,TRUNK,75009,3011,0,-,0,-,
708,560,SBST,1,TRUNK,12169,3011,5,-,0,-,
709,561,SBST,1,TRUNK,70059,3011,0,-,0,-,
710,563,SBST,1,TRUNK,42011,3011,0,-,0,-,
711,564,SBST,1,TRUNK,41119,3011,5,-,0,-,
712,565,SBST,1,TRUNK,52471,3011,0,-,0,-,
713,569,SBST,1,TRUNK,65009,3011,0,-,0,-,
714,585,SBST,1,TRUNK,82009,3011,10,-,0,-,
715,761,SBST,1,TRUNK,56251,3011,10,-,0,-,
716,529,SMRT,1,TRUNK,55509,55509,0,-,25,25,
717,530,SMRT,1,TRUNK,13051,3218,15,-,0,-,
718,531,SMRT,1,TRUNK,96129,3218,6,-,0,-,
719,531,SMRT,2,TRUNK,3222,96121,0,-,15,-,
720,546,SMRT,1,TRUNK,60221,3218,0,-,0,-,
721,587,SMRT,1,TRUNK,46861,3218,0,-,0,-,
722,588,SMRT,1,TRUNK,53369,3218,0,-,0,-,
723,589,SMRT,1,TRUNK,17429,3011,0,-,0,-,
724,590,SMRT,1,TRUNK,45421,3218,10,-,0,-,
725,598,SMRT,1,TRUNK,44859,3218,10,-,0,-,
726,599,SMRT,1,TRUNK,64449,3218,0,-,0,-,
727,3A,GAS,1,TRUNK,75009,77331,0,Dec-75,22,Dec-99,
728,36B,GAS,1,TRUNK,93049,93199,8,Sep-99,9,-,Tomlinson Rd
